query,similar,response
我收到商品不知道怎么使用,我看到评论区里，很多类似的情况，这家提供商产品出货时候不质检吗?就冲着自营的牌子来了。。结果很失望。[SEP][链接x][SEP]很多人因为害羞，无法退换货，但是对京东的评价会很不好的。。,您好[SEP]您可以先联系下咱们的产品专员[SEP]先帮您查看下[SEP]是否是商品的问题
我收到商品不知道怎么使用,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
我收到商品不知道怎么使用,所以你把用户协议中的条款拿出来给我看是么?[SEP]那么我请问，物品最终成交价格，是否要基于对物品外观的观察、检测，见都没见到，直接报价[数字x]，这样合适么,亲小妹在帮您咨询，请您稍等一会
我收到商品不知道怎么使用,是这样我打不通[数字x]，所以来麻烦你。我的京东小金库注销过程中发生了身份证拍照不清晰的情况，但是相机就这么高像素，我实在是没办法，请问有什么办法解决吗[SEP]我是要用这个账户重新注册小金库，发生这种情况对我而言非常麻烦,有什么问题我可以帮您处理或解决呢?
我买的数据线充不进去电,🤘 ,  
我买的数据线充不进去电,🤘 ,  
我买的数据线充不进去电,😨😨,没有的哦
我买的数据线充不进去电,🐑 , [SEP]请问还有其他的问题需要帮助的吗亲爱的 
好的[SEP]我现在在学校里，地址有变,🤘 ,  
好的[SEP]我现在在学校里，地址有变,🤘 ,  
好的[SEP]我现在在学校里，地址有变,🌼🌼💕,亲亲您的这个订单正确嘛小妹这边看到您的这个订单号是[数字x]-[数字x]日左右的呢[SEP] 
好的[SEP]我现在在学校里，地址有变,🌼🌼💕,亲亲您的这个订单正确嘛小妹这边看到您的这个订单号是[数字x]-[数字x]日左右的呢[SEP] 
四川省***,真正的智者拥抱混合策略。正如《了不起的盖茨比》作者菲茨杰拉德所说:“同时保有全然相反的两种观念，还能正常行事，是第一流智慧的标志。”[SEP]请把昨天买的太阳伞厦门派送电话给我,亲亲[SEP]您的订单已经到达厦门分拨中心[SEP]预计[数字x]月[数字x]号为您送达的呢
四川省***,比如说单品种类有小米、绿豆、红豆等等，礼盒也是有这些产品，组合粥是将这些产品按比例搭配成粥米，也提供一个就可以?,一个就可以
